player,team,opp,pos,stat,season_avg,pred,low,high,range,line,over_price,under_price,yes_price,no_price,edge,signal,conf,model_prob,implied_prob,ev,ev_pct,kelly_frac,injury_status,market_status,is_active,filter_reason,reasoning,game,home_team,away_team,last5_vals,last5_opps,last5_hit,last10_hit,h2h_last5,opp_rank,role_score,minutes_trend,points_trend,intel_source
Kayla McBride,Minnesota Lynx,Minnesota Lynx @ Golden State Valkyries,G,PA,19.8,21.1,17.6,24.6,17.6-24.6,16.5,-105.0,-129.0,,,4.6,OVER,HIGH,0.6246,0.5122,0.2195,21.9,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 99.9, minutes STABLE, points STABLE.",Minnesota Lynx @ Golden State Valkyries,Golden State Valkyries,Minnesota Lynx,"[22.0, 21.1, 20.2, 19.3, 22.5]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[21.1, 20.2, 19.3, 22.5, 21.6]",2,99.9,STABLE,STABLE,wnba_player_intelligence
Kayla McBride,Minnesota Lynx,Minnesota Lynx @ Golden State Valkyries,G,PRA,23.2,23.9,20.4,27.4,20.4-27.4,18.5,-113.0,-119.0,,,5.4,OVER,HIGH,0.6454,0.5305,0.2166,21.7,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 99.9, minutes STABLE, points STABLE.",Minnesota Lynx @ Golden State Valkyries,Golden State Valkyries,Minnesota Lynx,"[23.4, 22.5, 25.7, 24.8, 23.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[22.5, 25.7, 24.8, 23.9, 23.0]",2,99.9,STABLE,STABLE,wnba_player_intelligence
Michaela Onyenwere,Washington Mystics,Toronto Tempo @ Washington Mystics,F,PRA,14.8,15.8,12.3,19.3,12.3-19.3,11.5,-108.0,-122.0,,,4.3,OVER,HIGH,0.6168,0.5192,0.1879,18.8,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 93.0, minutes UP, points STABLE.",Toronto Tempo @ Washington Mystics,Washington Mystics,Toronto Tempo,"[14.9, 14.0, 17.2, 16.2, 15.4]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[17.2, 16.2, 15.4, 14.5, 17.6]",3,93.0,UP,STABLE,wnba_player_intelligence
Kayla McBride,Minnesota Lynx,Minnesota Lynx @ Golden State Valkyries,G,PTS,17.6,19.0,15.5,22.5,15.5-22.5,14.5,-110.0,-129.0,,,4.5,OVER,HIGH,0.622,0.5238,0.1875,18.8,0.05,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 99.9, minutes STABLE, points STABLE.",Minnesota Lynx @ Golden State Valkyries,Golden State Valkyries,Minnesota Lynx,"[19.4, 18.6, 17.6, 20.8, 19.9]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[18.6, 17.6, 20.8, 19.9, 19.0]",2,99.9,STABLE,STABLE,wnba_player_intelligence
Michaela Onyenwere,Washington Mystics,Toronto Tempo @ Washington Mystics,F,PTS,9.8,10.4,6.9,13.9,6.9-13.9,7.5,100.0,-130.0,,,2.9,OVER,HIGH,0.5804,0.5,0.1608,16.1,0.0402,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 93.0, minutes UP, points STABLE.",Toronto Tempo @ Washington Mystics,Washington Mystics,Toronto Tempo,"[10.4, 9.5, 8.6, 11.8, 10.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[8.6, 11.8, 10.8, 10.0, 9.1]",3,93.0,UP,STABLE,wnba_player_intelligence
Kayla McBride,Minnesota Lynx,Minnesota Lynx @ Golden State Valkyries,G,PR,21.0,21.8,18.3,25.3,18.3-25.3,16.5,-125.0,-108.0,,,5.3,OVER,HIGH,0.6428,0.5556,0.157,15.7,0.0491,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 99.9, minutes STABLE, points STABLE.",Minnesota Lynx @ Golden State Valkyries,Golden State Valkyries,Minnesota Lynx,"[22.2, 21.4, 20.4, 23.6, 22.7]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[21.4, 20.4, 23.6, 22.7, 21.8]",2,99.9,STABLE,STABLE,wnba_player_intelligence
Michaela Onyenwere,Washington Mystics,Toronto Tempo @ Washington Mystics,F,PR,13.0,13.6,10.1,17.1,10.1-17.1,9.5,-116.5,-115.0,,,4.1,OVER,HIGH,0.6116,0.5381,0.1366,13.7,0.0398,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 93.0, minutes UP, points STABLE.",Toronto Tempo @ Washington Mystics,Washington Mystics,Toronto Tempo,"[13.6, 12.7, 11.8, 14.9, 14.0]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[11.8, 14.9, 14.0, 13.2, 12.2]",3,93.0,UP,STABLE,wnba_player_intelligence
Cotie McMahon,Washington Mystics,Toronto Tempo @ Washington Mystics,G,PA,8.3,7.6,4.1,11.1,4.1-11.1,10.5,-122.0,-108.0,,,-2.9,UNDER,HIGH,0.5804,0.5192,0.1178,11.8,0.0318,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 70.8, minutes STABLE, points STABLE.",Toronto Tempo @ Washington Mystics,Washington Mystics,Toronto Tempo,"[7.1, 6.2, 9.4, 8.5, 7.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[9.4, 8.5, 7.6, 6.7, 5.8]",3,70.8,STABLE,STABLE,wnba_player_intelligence
Cotie McMahon,Washington Mystics,Toronto Tempo @ Washington Mystics,G,PRA,11.3,11.1,7.6,14.6,7.6-14.6,13.5,-128.0,-104.0,,,-2.4,UNDER,HIGH,0.5674,0.5098,0.113,11.3,0.0294,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 70.8, minutes STABLE, points STABLE.",Toronto Tempo @ Washington Mystics,Washington Mystics,Toronto Tempo,"[9.3, 12.4, 11.5, 10.7, 9.8]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[11.5, 10.7, 9.8, 12.9, 12.0]",3,70.8,STABLE,STABLE,wnba_player_intelligence
Courtney Williams,Minnesota Lynx,Minnesota Lynx @ Golden State Valkyries,G,PA,18.7,17.9,14.4,21.4,14.4-21.4,15.5,-105.0,-128.0,,,2.4,OVER,HIGH,0.5674,0.5122,0.1078,10.8,0.0283,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 88.0, minutes DOWN, points STABLE.",Minnesota Lynx @ Golden State Valkyries,Golden State Valkyries,Minnesota Lynx,"[18.8, 17.9, 17.0, 16.1, 19.2]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[17.9, 17.0, 16.1, 19.2, 18.3]",2,88.0,DOWN,STABLE,wnba_player_intelligence
Sonia Citron,Washington Mystics,Toronto Tempo @ Washington Mystics,G,PRA,23.7,24.4,20.9,27.9,20.9-27.9,27.5,-119.0,-114.0,,,-3.1,UNDER,HIGH,0.5856,0.5327,0.0993,9.9,0.0283,ACTIVE,ACTIVE MARKET,True,,"v5 intelligence blend from stats.wnba.com+player_intelligence: season + recent form, usage, efficiency, minutes, pace, role score, and price lean. Intelligence: role 97.6, minutes DOWN, points STABLE.",Toronto Tempo @ Washington Mystics,Washington Mystics,Toronto Tempo,"[26.2, 25.3, 24.4, 23.5, 22.6]","[""ATL"", ""CHI"", ""DAL"", ""IND"", ""SEA""]",1.0,1.0,"[24.4, 23.5, 22.6, 25.8, 24.8]",3,97.6,DOWN,STABLE,wnba_player_intelligence
